Data,Otwarcie,Max,Min,Zamknięcie,Wolumen,Obrót
09.12.2024,52.45,53.20,52.09,53.08,1 761 869,92 952 576
06.12.2024,52.50,53.15,52.00,52.14,1 446 088,76 014 952
05.12.2024,51.80,52.75,51.31,52.44,1 493 160,77 852 496
04.12.2024,51.58,52.15,51.23,51.66,1 506 019,77 799 504
03.12.2024,51.91,52.00,51.06,51.33,1 995 684,102 505 672
02.12.2024,51.00,52.00,50.96,51.77,1 649 629,85 169 704
29.11.2024,51.02,51.58,50.90,51.02,1 157 552,59 201 204
28.11.2024,51.43,51.72,50.97,51.22,845 481,43 352 588
27.11.2024,52.00,52.30,51.13,51.29,1 562 282,80 466 200
26.11.2024,52.14,52.57,51.73,52.05,1 432 121,74 679 816
25.11.2024,52.28,52.55,51.74,51.90,3 310 142,172 180 032
22.11.2024,52.69,52.69,51.36,51.83,1 736 206,89 958 944
21.11.2024,51.31,52.75,50.72,52.24,2 544 019,132 495 120
20.11.2024,51.82,52.30,50.99,51.23,1 988 115,102 214 488
19.11.2024,53.51,53.76,50.27,51.72,2 780 874,143 035 936
18.11.2024,52.78,53.40,52.13,53.40,1 903 505,100 872 184
15.11.2024,53.00,53.15,52.37,52.78,1 654 824,87 286 864
14.11.2024,52.00,53.17,51.55,53.10,3 580 982,188 564 784
13.11.2024,50.90,51.44,49.99,50.84,2 676 045,135 642 848
12.11.2024,52.60,53.10,50.35,50.39,3 621 879,185 694 672
08.11.2024,53.92,53.92,52.38,52.60,2 108 404,111 599 216
07.11.2024,52.20,54.37,52.00,53.70,4 591 770,246 206 848
06.11.2024,52.70,52.78,51.69,51.88,2 138 510,111 242 960
05.11.2024,52.76,52.78,51.87,52.10,1 802 504,94 045 664
04.11.2024,52.41,52.86,52.09,52.53,1 424 214,74 649 864
31.10.2024,52.15,52.18,51.45,52.09,1 738 894,90 100 576
30.10.2024,52.80,53.08,52.18,52.39,1 817 288,95 428 032
29.10.2024,53.75,53.75,52.65,52.96,1 900 192,100 861 712
28.10.2024,53.81,53.90,53.04,53.53,988 924,52 848 352
25.10.2024,53.08,54.08,52.76,53.82,1 294 410,69 309 680
24.10.2024,52.96,53.78,52.70,53.08,1 439 643,76 829 480
23.10.2024,52.92,53.02,52.13,52.77,1 744 288,91 729 496
22.10.2024,54.00,54.00,52.50,52.77,1 975 793,104 459 800
21.10.2024,53.40,54.18,53.12,53.73,1 693 806,90 869 664
18.10.2024,53.76,54.30,53.40,53.40,1 429 140,76 863 720
17.10.2024,54.41,54.54,53.43,53.55,1 598 371,86 122 368
16.10.2024,54.85,54.92,53.86,54.41,7 062 437,383 118 400
15.10.2024,55.20,55.50,54.07,54.74,2 768 212,151 243 008
14.10.2024,56.15,56.20,55.20,55.20,1 313 747,73 050 048
11.10.2024,55.77,56.19,55.40,55.68,1 230 198,68 524 976
10.10.2024,55.90,55.96,55.10,55.40,1 808 472,100 254 736
09.10.2024,55.20,55.87,55.07,55.71,1 822 962,101 339 272
08.10.2024,56.00,56.26,55.01,55.20,1 948 542,108 215 480
07.10.2024,57.60,57.86,55.59,55.98,2 257 394,126 927 840
04.10.2024,58.00,58.50,57.66,57.70,1 332 692,77 182 768
03.10.2024,58.49,58.58,57.25,57.45,1 201 749,69 371 096
02.10.2024,57.00,58.90,56.90,58.60,2 410 839,140 826 768
01.10.2024,56.16,57.10,55.20,57.03,2 667 875,150 080 208
30.09.2024,56.97,57.10,55.75,55.87,2 374 263,132 937 192
27.09.2024,55.80,56.87,55.80,56.87,1 948 297,109 917 624
26.09.2024,57.60,57.66,55.36,55.54,3 966 081,222 147 296
25.09.2024,57.68,57.70,56.83,57.16,1 876 077,107 334 824
24.09.2024,56.98,58.13,56.83,57.50,2 159 701,124 341 248
23.09.2024,57.00,57.18,55.96,56.28,1 519 794,85 549 744
20.09.2024,57.60,57.97,56.00,56.12,7 207 147,406 114 784
19.09.2024,57.99,58.67,57.26,57.26,3 106 038,179 766 512
18.09.2024,61.67,61.78,60.81,60.88,2 312 482,141 211 728
17.09.2024,61.00,61.74,60.66,61.29,1 833 245,111 998 328
16.09.2024,61.00,61.39,60.42,60.70,1 984 128,120 610 344
13.09.2024,59.99,60.89,59.90,60.77,1 893 174,114 362 664
12.09.2024,60.56,61.50,59.82,59.82,2 506 053,150 681 056
11.09.2024,61.11,61.36,60.14,60.27,2 787 300,168 923 760
10.09.2024,61.70,61.79,60.69,60.82,1 226 297,74 900 744
09.09.2024,61.67,61.99,61.30,61.41,1 547 098,95 175 928
06.09.2024,62.60,62.70,61.17,61.20,1 588 829,98 360 304
05.09.2024,63.81,63.87,62.16,62.20,1 780 800,111 874 056
04.09.2024,63.50,64.34,63.31,63.81,1 399 287,89 296 304
03.09.2024,65.94,65.99,64.17,64.57,1 827 145,118 638 792
02.09.2024,64.14,66.16,63.98,65.94,1 818 842,119 054 392
30.08.2024,63.95,64.80,63.80,64.34,2 811 709,180 959 856
29.08.2024,63.15,64.22,63.15,63.93,1 586 809,101 405 888
28.08.2024,63.46,63.68,62.84,63.15,1 290 985,81 518 088
27.08.2024,63.37,63.63,62.93,63.46,1 217 442,77 034 784
26.08.2024,63.10,63.72,62.62,63.37,971 516,61 427 016
23.08.2024,62.53,63.48,62.31,63.06,1 026 420,64 552 996
22.08.2024,62.80,63.40,61.73,62.03,2 566 113,160 255 840
21.08.2024,63.31,63.95,63.02,63.88,934 802,59 476 492
20.08.2024,64.58,64.78,63.24,63.31,1 034 589,65 905 516
19.08.2024,64.10,65.19,63.71,64.58,1 215 849,78 616 560
16.08.2024,63.99,64.30,63.61,64.03,1 503 191,96 061 320
14.08.2024,63.80,64.16,62.74,62.98,1 306 664,82 571 816
13.08.2024,64.92,64.99,63.37,63.71,1 352 764,86 366 104
12.08.2024,63.40,64.58,62.84,64.56,1 943 458,124 380 552
09.08.2024,62.68,63.08,61.16,61.56,1 155 110,71 603 312
08.08.2024,61.18,62.30,60.43,62.24,1 381 467,85 095 344
